tay,viet,pos,theme
Khe,chài,N,
Tọt Khe,quăng chài,V,
Khe háng,chài thưa,V,
Khe pầu,lưới,N,
Khe thí,chài mau,N,
Khéc,khách,N,
Lặp Khéc,đón khách,V,
Khéc hí,hí,M,
Khẻm,xém,M,
Mẩy Khẻm,cháy xém,V,
Khẻm,rám nắng,V,
Nả Khẻm,mặt rám nắng,N,
khẻm khuých,xám xịt,M,
Khen,cánh tay,N,
Khen tắc,gẫy tay,V,
Khen,ngăn,M,
Khen căn,ngăn cách nhau,V,
Khen chang,đứng giữa,E,
Khen chang,trọng tài,N,
Khen kha,tay chân,N,
Khen kha,đầy tớ,M,
Kheng,cứng,A,
Kha Kheng,chân cứng,N,
Phuối Kheng,nói cứng,V,
Kheng cắc,cứng ngắc,M,
Kheng khẳn,rắn rỏi,N,
Kheng khẳn,cứng cáp,M,
Kheng kích,cứng ngắc,M,
Kheng rược,cọc rào dứng,N,
Kheo,xanh,A,
Bâu Kheo,lá xanh,N,
Mác Kheo,quả xanh,N,
Phjắc Kheo,rau xanh,N,
Kheo,tái,Z,
Nả Kheo,tái mặt,Z,
Kheo bích,xanh biếc,A,
Kheo lỉu,xanh ngắt,A,
Kheo lỉu,xanh thẳm,A,
Kheo slỉu,xanh lè,A,
Kheo ứt,xanh mướt,A,
Kheo xát,xanh lè,A,
Khẻo,răng,P,
Khẻo phưa,răng bừa,N,
Khẻo,dăm,M,
Khẻo xay,dăm cối,N,
Khẻo,khéo,M,
Khẻo cậu,răng hàm,N,
Khẻo ma,răng nanh,N,
Khẻo mèo,răng mèo,N,
Khẻo slút,răng khôn,N,
Khẻo tu,răng cửa,P,
Khéo,cái khâu,N,
Khéo pjạ,cái khâu dao,N,
Khéo,"khúc, khoanh",CH,
Khêm,kim,N,
Khên,chăng,R,
Khên lền,chăng dây,N,
Khên,căng,M,
xẻ Khên,kéo căng,V,
Khên,trợn,M,
Khên tha,trợn mắt,V,
Khên cò,gân cổ,N,
Khên khoỏng,căng thẳng,A,
Khên khoỏng,ác liệt,A,
Khên pứng,căng tưng,V,
Khên tha,cố ý,M,
Khên tha,cố tình,M,
Khến,rất ghê,A,
Khến,tôi,P,
Khến pjạ,tôi dao,P,
Khếp,con rết,N,
Khỉ,cứt,M,
Khỉ vài,cứt trâu,V,
Khỉ,phân,M,
Khỉ,nhử,M,
Khỉ tha,nhử mắt,V,
Khỉ,dáy,M,
Khỉ xu,dáy tai,N,
Khỉ,bựa,M,
Khỉ fàn,bựa răng,P,
Khỉ,mùn,M,
Khỉ cưa,mùn cưa,N,
Khỉ kẹt,ghét,M,
Khỉ kẹt,đáng ghét,V,
Khỉ khún,phân gio,N,
Khỉa,bệnh sâu quảng,M,
Khiếc,bổ,M,
Khiếc,đánh,V,
Khiển,sai sai khiến,A,
Khiêng,thớt,M,
Khinh,gừng,M,
Khinh kèng,gừng gió,V,
Khính khoáng,loảng xoảng,N,
khít,ghẻ,N,
Pền khít,bị ghẻ,V,
Khít,kín,A,
Khít,khít,M,
Khít khẻo,nghiến răng,P,
khít lít,kín mít,M,
Khít rụp,khít khịt,M,
Khít rụp,kín mít,M,
Khỉu khương,ngất ngưởng,V,
Kho,cái móc,V,
Kho,cong,A,
Kho,còng,A,
Lăng Kho,lưng còng,N,
Kho,quặp,M,
Đăng Kho,mũi quặp,N,
Kho,co,V,
Kho kha,co chân,V,
Kho,cóng,M,
Thai Kho,chết cóng,V,
Kho khot,co ro,M,
Kho khot,quanh quẩn,M,
Kho ngóng,cong queo,M,
Kho slửa,cái mắc áo,N,
Kho vặc,cái móc,V,
Kho vặc,câu liêm,N,
Khỏ,khúc,M,
Khỏ ỏi,khúc mía,N,
Khỏ,đốt,V,
Khỏ,nghèo,A,
Rườn Khỏ,nhà nghèo,N,place
Khỏ,khổ,A,
Chin Khỏ,ăn khổ,V,
Khỏ,khó,A,
Khỏ khát,nghèo đói,V,
Khỏ khát,đói rách,V,
Khoả,cái khóa,T,
Khoả,khóa,M,
Khỏa bạn,văn thơ,M,
Khỏa cò,cái vòng cổ,N,
Khóa,cái quần,N,
Khóa đỏn,quần đùi,M,
Khoác,chông,N,
Téng Khoác,đặt bẫy chông,N,
Khoai,cây chay,N,
Khoái,"nhanh, mau",A,
Hết Khoái,làm nhanh,V,
Cải Khoái,mau lớn,A,
Khái khoay,nhanh nhẹn,M,
Khoái táng,nhanh chóng,A,
Khoái táng,có hiệu quả,V,
Khoan,cái rìu,T,
Khoang,cây trúc,N,
Khoang,ngang,A,place
Tẳng Khoang,dọc ngang,A,place
Khoang,gàn,M,
Phuối Khoang,nói ngang,V,
Khoang,rẽ,V,
Khoang đát,ngang kềnh,M,
Khoang đát,ngang phè,M,
Khoang khoáy,thêu dệt,M,
Khoang ma,gàn dở,N,
Khoảng,vướng,V,
Khoảng rườn,vướng nhà,V,place
Khoảng kha,vướng chân,V,
Khoáng,bắc ngang,V,
Khoát,cào,V,
Khoát,nạo,M,
Khoảt,mái chèo,V,
Khoảy,khoáy,M,
Khoảy,rãnh xoáy,N,
Khoảy,ngoáy,M,
Khoảy xu,ngoáy tai,N,
Khoáy,khoanh,M,
Khoáy mừ,khoanh tay,V,
Khoáy,vắt,M,
Khoáy khoang,ngổn ngang,A,
Khoẳn,bậc,N,
Khoen,treo,V,
Khoét,"bật, đánh",V,
Khoét fầy,bật lửa,V,
Khoi,hòa,M,
Khoi,trộn,V,
Khỏi,tôi,P,
Boong Khỏi,chúng tôi,P,
Khỏi,đầy tớ,M,
Hết Khỏi,làm đầy tớ,M,
Khon,cây chắn ngang,V,
Khon,khuôn,M,
Khon fục,sợi cói,N,
khỏn,hòn,M,
khỏn hin,hòn đá,N,
Khoòng,túng thiếu,N,
Khoòng,nhụt chí,N,
Khoòng,hoang mang,M,
Khóp,cái khung,N,place
Khóp,cạp,M,
Khóp đổng,cạp nong,N,
Khóp,khắp,A,
Khóp bản,khắp bản,X,
Khóp,kín,A,
Khóp đổng,cạp nong,N,
Khóp đổng,rắn cạp nong,V,
Khóp tu,khung cửa,N,place
Khóp tu,ngưỡng cửa,V,place
Khót,nút,N,
Khót phjoóc,nút lạt,N,
Khót,thắt nút,V,
Khót,cạo,M,
Khót nhuột,cạo râu,V,
Khót,đậu quả,T,
Khót,ra quả,T,
Khót pjoóng,nút thòng lọng,N,
Khót tặc,nút chết,V,
Khố,giác,M,
Nạn Khố,hươu giác,M,
Khộc khạc,ho khù khụ,N,
Khôm,đắng,M,
Khôm cắc,đắng ngắt,M,
Khôm khỏ,tủi thân,M,
Khôm khỏ,đau khổ,A,
Khôm kích,đắng ngòm,M,
Khôm phết,đắng cay,A,
Khốm,ấn,M,
Khốm,vít,M,
Khốm,hãm,M,
Khốm khoang,đè nén,V,
Khôn,lông,N,
Khôn cáy,lông gà,N,
Khôn chầu,lông mày,P,
Khôn món,lông măng,N,
Khôn nuồm,lông tơ,N,
Khôn tha,lông mi,P,
Khổn,vật,M,
Khổn,quần nhau,V,
Khổn,đặc,A,
Khổn,đông đặc,A,
Pì Khổn,mỡ đặc,N,
Khổn,quánh,M,
Khổn khó,khó,A,
Khổn cò,nài nỉ,N,
Khổn cò,vật lộn,M,
Khổn khỏe,vật lộn,M,
Khổn khỏe,trầy trật,N,
Khổn tứt,đặc sệt,M,
Không,nơi,N,place
Không,chốn,N,
Không,chặng,M,
Không,đoạn,N,
Không,uốn,M,
Không,khom,M,
Không lăng,khom lưng,N,
Khốp,cắn,V,
Ngù Khốp,rắn cắn,V,
Khốp,đốt,V,
Mèng Khốp,muỗi đốt,V,
Khốp,khớp nhau,V,
Khốp lặc,cắn trộm,V,
Khốt,thắt nút,V,
Khốt,bịt,M,
Khốt,uốn,M,
Khốt,khuất,M,
Khốt,hẻo lánh,M,
Khốt,nói ẩn ý,V,
Khủ,cậu,Nc,
Po Khủ,ông cậu,Nc,
Noọng Khủ,em cậu,N,
Khủ mử,cậu mợ,N,
Khua,cười,V,
Khua,chê cười,V,
Khua,reo,V,
Fầy Khua,lửa reo,V,
Khua phằng,reo mừng,V,
Khua phằng,vui mừng,M,
Khua khước,cười đùa,V,
Khua slổm,cười mỉa,V,
Khua vân,cười mỉm,V,
Khủa,rang,M,
Khủa khẩu,rang cơm,V,
Khúc,nhịp,N,
Khúc cấu,nhịp cầu,N,
Khúc,đoạn,N,
Khuế,bới,M,
Cáy Khuế,gà bới,N,
Khuế,gạt,M,
Khun,cho ăn,E,
Khun,chăn,M,
Khun ma,cho chó ăn,E,
Khun cáy,chăn gà,N,
Khun liệng,chăn nuôi,V,
Khún,phân,M,
Khún lang,phân chuồng,N,
Khún,bột chàm,N,
Nhọm Khún,nhuộm chàm,V,
Phải Khún,vải chàm,N,
Khún,đục,A,
Nặm Khún,nước đục,N,
Khuốc,guốc,M,
Khuổi,khe núi,N,place
Khuổi loong,khe suối,N,place
Khuổi,gội,M,
Khuổi hua,gội đầu,N,
Khuổm,kín,A,
Ngằm Khuổm,đậy kín,V,
Khuông,cây móc,V,
Khuống,lên đầu đinh,V,
Khuốp vằn,trọn một ngày,M,time
Khuốp pi,quanh năm,N,time
Khuốp pi,suốt năm,M,time
Khút khút,nghi ngút,A,
Khút khút,mù mịt,M,
Khuy,lụi,M,
Khúy,cưỡi,M,
Khúy mạ,cưỡi ngựa,V,
Khúy,đi,V,
Khuyển,con cắt,V,
Khuyết,con ngóe,N,
Khuyết,bỏ trống,V,
Khuyết,thiếu,A,
Khuỷu lồm,huýt sáo,N,
Khứ,xà nhà,N,place
Khưa,vũng,M,
Khưa quang,vũng nai tắm,V,
Khưa pùng,vũng bùn,N,
Khưa,cà bát,N,
Khứa,ương,M,
Khứa,ứa,M,
Khửn,lên,V,
Khửn rườn,lên nhà,V,place
Khửn lính,lên dốc,V,place
Khửn heng,lên tiếng,M,
Khửn,bốc,V,
Khửn dai,bốc hơi,V,
Khửn,trèo,M,
Khửn mạy,trèo cây,N,
Khửn,mọc,V,
Khửn,kê lên,V,
Khửn,be bờ,N,
Khửn đan,uốn ván,V,
Khửn khươi,ở rể,E,
Khửn lồng,lên xuống,V,
Khửn lồng,phát đạt,V,
Khửn mác,lên sởi,V,
Khửn mừ,quen tay,V,
Khửn mừ,thành thạo,V,
Khửn mừ,khấm khá,N,
Khửn nả,bốc lên mặt,V,
Khửn nả,hiếu thắng,V,
Khửn pjên,quy củ,M,
Khửn pjên,có kế hoạch,V,
Khứn,ngán,M,
Khứn,nồng,M,
Khứn slạt,hăng hắc,M,
Khước,reo,V,
Khươi,rể,N,
Po Khươi,con rể,N,
Pi Khươi,anh rể,N,
Hết Khươi,ở rể,E,
Khươi lạng,rể hờ,N,
Khươi pậu,người phù rể,N,
Khưởi,lụi đi,V,
Khướm,kín,A,
Khướm,khắp,A,
Khương,cái giỏ,N,
Khướng,mái tơ,N,
Khướt,Ngớt,Np,
Phôn Khướt,mưa ngớt,N,
Khứp,cái cặp,T,
Khứt khứt,hoăng hoắc,N,
Khụt,khịt,M,
Khụt đăng,khịt mũi,V,
Ki,cái sảo,T,
Ki,cái sọt,T,
Ki,còm,M,
Mu Ki,lợn còm,N,
Ki,còi,N,
Vài Ki,trâu còi,N,
Kì,tính,V,
Kì,lo,V,
Kì lằn,kỳ lân,N,
Kỉ,bao nhiêu,P,
Kỉ,mấy,L,
Kỉ hò,mấy khi,L,time
Kỉ lai,bao nhiêu,P,
Kỉ pưa,có khi,X,time
Kỉ xì,mấy khi,L,time
Kỉ xì,ít khi,N,time
Kí cáo,mưu kế,M,
Kí cáo,thủ đoạn,M,
Kí húc,khung cửi,N,
Kí màu,mưu mẹo,N,
Kí màu,mưu trí,M,
Kí rỉu,thắt đáy,V,
Kị,đáy,N,
Kị vằng,đáy vực,N,
Kị,kiêng kị,N,
Vằn Kị,ngày kiêng kị,M,time
Kị hec,đáy chảo,N,
Kị mỏ,đáy nôi,N,
Kia,còi,N,
Kia nghính,còi cọc,N,
Kích,gạch,N,
Toỏng Kích,đóng gạch,V,
Rườn Kích,nhà gạch,N,place
Kích,uất ức,M,
Kích,bức xúc,A,
Kích,tủi thân,M,
Kích hí,uất,M,
Kích ngọa,gạch ngói,N,
Kiền,quấn,V,
Kiềng,cái kiềng,N,
Kiềng đăng,sống mũi,V,
Kiểng,hồ,N,place
Kiểng phải,hồ vải,N,place
Kiểng,sạch,A,
Kiểng,bóng,N,
Mừ Kiểng,tay sạch,N,
Kiết,trát,M,
Kiết,bết,M,
Kiết pùng,bết bùn,N,
Kiết,ướt sũng,M,
Kiết,chắc lẳn,M,
Kiều,cái cầu nhỏ,A,
Kiểu,gót,M,
Kiểu kiết,xà cạp,M,
Kiểu kiết,quấn chặt,V,
Kiệu,cây kiệu,N,
Hua Kiệu,củ kiệu,N,
Kim,vàng,N,
Kim sla,vàng cám,N,
Kim tẩu,đậu cô ve,V,
Kình,thân mình,P,
Kình dang,Mình mẩy,P,
Kính,nhánh,M,
Kính,cành nhỏ,N,
Kính bjoóc,cành hoa,N,
Kính cáng,cành,N,
Kính cáng,nhánh,M,
Kịnh,quả đài hái,N,
Kíp,móng,N,
Kíp mò,móng bò,N,
Kíp mạ,móng ngựa,N,
Kíp,gót,M,
Kíp,múi,M,
Kít,con sơn dương,N,
Kít kít,băng băng,N,
Kít toọc,một mạch,M,
Kiu,dính,V,
Kiu,gắn bó,V,
Kiu nỉu,dính líu,V,
Kiu nỉu,dính nhép,V,
Kíu,thắt,M,
Kíu,hẹp lại,R,
Rặng Kíu,thắt lưng eo,N,
Là,cái sàng thưa,V,
Là,sàng,M,
Là,bàn tán,V,
Là,ta,P,
Boong Là,chúng ta,P,
Lả,cái rá,T,
Lả,muộn,A,
Nà Lả,lúa muộn,N,
Pây Lả,đi muộn,V,
Lả,út,A,
Lục Lả,con út,N,
Lả,khuya,A,time
Cừn Lả,đêm khuya,N,time
Lá,đi,V,
Lạ,"lạ, lạ lùng",A,
Cần Lạ,người lạ,N,
Ti Lạ,nơi lạ,N,place
Lạ,khách,N,
Lạ lác,xa lạ,A,
Lạ nhám,xa lạ,A,
Lạ nhám,lạ lẫm,M,
Lác,dỡ,M,
Lác phải,dỡ vải sợi,N,
Lác,sụt lở,V,
Phja Lác,núi lở,V,place
Lạc,rễ,M,
Lạc mạy,rễ cây,N,
Lạc,chân,N,
Lạc khẻo,chân răng,P,
Lạc,lôi,V,
Lạc,kéo,V,
Lạc,nhầm,V,
Lạc tàng,nhầm đường,V,place
Lạc đoóc,thối rễ,N,
Lạc khoai,cây vỏ đỏ,A,
Lạc lụt,lôi kéo,M,
Lạc mẹ,rễ cái,T,
Lạc mẹ,rễ cọc,N,
Lạc mùa,trái vụ,N,
Lai,nhiều,A,
Lai cần,nhiều người,Nc,
Lai,hơn,A,
Lai,lắm,R,
Slung Lai,cao lắm,R,
Lai láng,tràn trề,V,
Lai nọi,ít nhiều,M,
Lài,viết,V,
Lài slư,viết chữ,V,
Lài,có hoa văn,V,
Lài,hoa,N,
Slửa Lài,áo hoa,N,
Lài,vằn vện,N,
Lài,hoa,N,
Tha Lài,hoa mắt,N,
Tha Lài,mắt kém,N,
Lài chèn,hoa đồng tiền,N,
Lài choại,lốm đốm,N,
Lài khoài,nguệch ngoạc,N,
Lài lạng,nhá nhem,T,
Lài lạng,nhập nhoạng,V,
Lài luông,hoa hòe,N,
Lài mèo,nham nhở,M,
Lài mèo,nhem nhuốc,N,
Lài mừ,vân tay,V,
Lài mừ,hoa tay,N,
Lài ngặng,lốm đốm,N,
Lài pjai,lốm đốm,N,
Lài pjặng,vằn vện,N,
Lài tha,lóa mắt,V,
Lài va,đốm hoa,N,
Lải,cây lai,N,
Mác Lải,hạt cây lai,N,
Lải,đổ lỗi,V,
Lai,chuyên,A,
Lai,chuyền,M,
Lai,truyền,V,
Lai,rót,M,
Lai,thay,V,
Lai rườn,lợp lại nhà,V,place
Lai slửa,sắm áo mới,V,
Lái,đạng,M,
Lái,thác,M,place
Lái tạng,thác Đầu Đẳng,Np,place
Lam,nướng,V,
Lam,đun,M,
Làm,bỏ sót,V,
Thây Làm,cày sót,V,
Làm,mất thì giờ,C,time
Làm,để quá,E,
Làm,cháy lan,V,
Làm càm,lỗ chỗ,M,
Làm khoang,bỏ sót,V,
Lam,buộc,V,
Lam,trói,M,
Lam kha,trói chân,N,
Lam kha,ngăn cản,V,
Lám,bỏ sót,V,
Lám,bỏ rơi,M,
Lám thai,thoát chết,V,
Lan,cháu,Nc,
Lan nhình,cháu gái,N,
Lan đeng,cháu nội,N,
Lan lển,cháu chắt,M,
Làn,cây chắn,N,
Làn,vạt,M,
Làn slửa,vạt áo,N,
Làn,đốn cành,V,
Làn,cắt bớt,V,
Làn,che chắn,M,
Làn nả,che mặt,V,
Làn,chặn,V,
Làn,chắn,M,
Làn tàng,chặn đường,V,place
Làn la,ngăn cản,V,
Làn tha,che mắt,V,
Lan nhát,"nhát, nhút nhát",N,
Lản lỉ,dính dáng,V,
Lán,lều,N,
Lán,cái lán,T,
Lạn,gan,M,
Lạn kha,gan bàn chân,N,
Lạn,chạn,M,
Lạn pát,chạn bát,N,
Lạn,tầng lớp,M,
Lạn hin,lớp đá,N,
Lạn khảo,cứng khoèo,M,
Lạn khoát,nông choèn,M,
láng,lạc,M,
láng,rời,V,
Lang,tỉa,M,
láng,bong,M,
láng,cai,V,
Lang đạng,bâng khuâng,N,
Lang đạng,lênh đênh,M,
Láng pá,phiêu bạt,N,
Làng,cây cau,N,
Mạy Làng,cây cau,N,
Mác Làng,quả cau,N,
Lạng,rửa,V,
Lạng pát,rửa bát,V,
Làng,con đực giống,A,
Mu Làng,lợn đực giống,A,
Au Làng,lấy giống,V,
Lạng,dở dang,A,
Làng lừ,cho rằng,C,
lao,sợ,V,
lao,lo,V,
Lang,gầm nhà sàn,N,place
Lang,chuồng trâu bò,N,
Lao hí,lo sợ,M,
Lang,rộng,A,
Lao ngám,chắc vừa mới,R,
Lang cai,sân,N,
Lang cai,sân thềm,N,
Lao te,có lẽ rằng,X,
Lao te,sợ rằng,C,
Lao tố,có lẽ,X,
Lào,sức lực,M,
Lào,mỡ,M,
Lào mu,mỡ lợn,N,
Lào,đong,M,
Lào,đo,V,
Lào khẩu,đong thóc,N,
Lào phải,đo vải,V,
Lào fặc,củ cải,N,
Lào lọc,lọc lõi,V,
Lào lộc,làm quần quật,V,
Lào luộn,loạn lạc,V,
Lào lừ,buồn nôn,M,
Lào mây,cây chò chỉ,R,
Lao thuốc,thuốc,N,
Lao bâư,thuốc lá,N,
Lao bỉ,thuốc lá điếu,N,
Lao keo,thuốc lào,N,
Lao phèn,thuốc phiện,M,
Láo lúng,tất cả,P,
Láo lúng,tổng cộng,M,
Lạo,người,N,
Lạo,ông,Nc,
Lạo,bà,Nc,
Lạo ké,ông già,A,
Lạo da,bà già,A,
Lạo lộc,rau tàu bay,N,
Lạo pản,lái buôn,V,
Lạo slặt,thật thà,M,
Láp,chừa,M,
Lạp chạp,tháng chạp,M,time
Lau lau,mồn một,V,
Lạp lạ,mờ sáng,N,time
Lạp là,mỡ chài,N,
Láu,gạ gẫm,N,
Láu,lừa gạt,V,
Lát,quất,M,
Lát,quật,M,
Lay,con lươn,N,
Lạt,rạn nứt,V,
Lay,đánh roi,V,
Lạt lạt,san sát,A,
Lạt lạt,la liệt,M,
Lày,tổ kiến đen,N,
Lau,đẽo,M,
Lau,vót,M,
Lau thú,vót đũa,N,
Lau,róc,M,
Lau ỏi,róc mía,N,
Lày,lâu,A,
Lày,rầy rà,V,
Làu,để dành,M,
Làu chèn,dành tiền,V,
Lạy,lạy,M,
Lạy,vái,M,
Lạy chỏ,vái tổ,N,
Lạy,gật,V,
Lạy nòn,ngủ gật,V,
Lạy nòn,buồn ngủ,V,
Làu,trôi chảy,V,
Làu,trơn tru,N,
Phuối Làu,nói trôi chảy,V,
Phuối Làu,thuộc làu làu,V,
Lạy táng,vái tổ,N,
Làu lị,chăm sóc,V,
Làu lị,trông nom,V,
Làu loạt,lưu loát,V,
Lắc,cọc,M,
Toóc Lắc,đóng cọc,V,
Lặc,ăn cắp,M,
Po Lặc,kẻ trộm,M,
Chin Lặc,ăn trộm,M,
Lặc,vụng,M,
Lăm,u,M,
Lăm vài,u vai trâu,N,
Lăm,béo tốt,A,
Lặc phằng,mừng thầm,V,
Lặc lài,hóa ra,V,
Lặc lài,té ra,V,
Lằm,vết lằn,N,
Lặc lảy,ồn ào,A,
Lặc lảy,ồn điếc tai,N,
Lằm,cái,T,
Lằm slảo,cái sào,T,
Lằm,khúc,M,
Lằm mạy,khúc gỗ tròn,N,
Lặc lị,vụng trộm,N,
Lặc lị,giấu giếm,V,
Lặc lị,ăn vụng trộm,V,
Lằm,khỏe,M,
Lằm,Đanh đá,N,
Pác Lằm,đanh đá,N,
Lặc lưn,ghê,M,
Lặc lưn,bẩn,A,
Lặc lưn,tởm lợm,N,
Lằm,xấu,A,
Khẩy Lằm,bệnh xấu đi,V,
Lặc mjoọc,ăn cắp vặt,N,
Lặc ngoòng,thầm mong,V,
Lằm lỉu,bỗng dưng,R,
Lằm lỉu,bất chợt,M,
Lằm lít,bỗng chốc,N,
Lằm loài,bỗng chốc,N,
Lằm loài,vụt,M,
Lăm củm,con thù thì,C,
Lăm lăm,lăm lăm,M,
Lắm,lắm,R,
Lặm,che khuất,V,
Lặm đét,khuất nắng,V,
Lặm,nấp,M,
Lặm,sau,N,
Lặm đăm,mờ ám,M,
Lặm lăng,sau lưng,N,
Lằn,ngã,P,
Lằn,lăn,V,
Lằn chằn,lôi thôi,T,
Lằn loọc,lặn lội,M,
Lằn loọc,lăn lóc,M,
Lằn lống,lông lốc,N,
Lăn,vê,M,
Lăn,cuốn,Nc,
Lăn,xắn,M,
Lăn khóa,xắn quần,V,
Lăn leo,quấn quýt,V,
Lắn,sập,V,
Cắp Lắn,bẫy sập,V,
Lắn xủng,cướp cò súng,N,
Lắn,lặn,V,
Lắn cướp,cướp cò súng,N,
Lắn lắn,lon ton,N,
Lắn thắn,thành bậc,V,
Lặn,quay lại,V,time
Lặn,lộn lại,V,
Lặn,vòng,N,
Lặn,tròn chắc,A,
Lặn lọ,kĩ càng,N,
Lăng,lưng,N,
Lăng,sau,N,
Lăng,kế,M,
Mẹ Lăng,vợ kế,N,
Lăng,bên ngoại,N,
Păng Lăng,bên nhà ngoại,N,place
Lăng,gì,P,
Chin Lăng,ăn cái gì,P,
Hết Lăng,làm gì,P,
Lăng kha,mu bàn chân,N,
Lăng lả,muộn màng,M,
Lăng mừ,mu bàn tay,V,
Lăng,nhiều mỡ,N,
Lăng,nhờn,M,
Lăng lượp,nhẫy bóng mỡ,V,
Lăng lượp,mượt,M,
Lăng mjạp,bóng nhẫy,N,
Lắp,nhắm,V,
Lắp tha,nhắm mắt,M,
Lắp lí,ti hí,N,
Lắp lí,díp mắt,V,
Lắp lí,mù mịt,M,
Lắp slắp,lặt vặt,M,
Lắp tha,nhắm mắt,M,
Lắp tha,dễ không,R,
Lắp tha,liều,M,
Lặp,mài,M,
Lặp pjạ,mài dao,N,
Lặp Hin,đá mài,N,
Lặp,đón,V,
Lặp xuân,đón xuân,V,time
Lặp la,tang tảng sáng,N,time
Lặp la,nhập nhoạng,V,
Lặp lị,thảm thiết,M,
Lặp lị,da diết,N,
Lắt,dày đặc,A,
Lắt,mau,M,
Phôn Lắt,mưa mau,N,
Lắt,inh tai,N,
Xu Lắt,inh tai,N,
Lắt lét,thất thường,N,
Lắt lí,mịt mù,M,
Lắt lí,dày đặc,A,
Lắt lí,tầm tã,N,
Lắt lí,ra rả,V,
Lậc,sâu,A,
vằng Lậc,vực sâu,V,
Lậc,dày,A,
Lậc,khuya,A,time
Cùn Lậc,đêm khuya,N,time
Lậc khuỷu,sâu hoắm,M,
Lậc cụm,sâu hủm,M,
Lẩm,ủ,M,
Lân la,râm ran,M,
Lân la,rộn ràng,N,
Lân la,tưng bừng,M,
Lần,hơ,M,
Lần fầy,hơ lửa,V,
Lân,kể,V,
Lân tuyện,kể truyện,V,
Lân,hàng,N,
Lấn,rụng,M,
Lấn,rơi,V,
Lận lạn,cố sức,V,
Lầng,đều,R,
Lầng,luôn,R,
Lốm,"thụt, sụt",CH,
Đin Lốm,đất sụt,N,
Lốm,lõm,M,
Búng Lốm,chỗ lõm,N,
Lốm,"hụt, thiếu",CH,
Lốm pổn,hụt vốn,N,
Lộm,ngã,P,
Lộm,đổ,V,
Khẩu Lộm,lúa đổ,V,
Lộm lần,ngã dúi dụi,V,
Lộm lần,vật vã,M,
Lộm loạt,đổ hàng loạt,V,
Lộm mạ,ngã gục,V,
Lộm mạ,kiệt sức,M,
Lộn,lẫn,C,
Lộn,độn,M,
Lông,nhầm,V,
Phuối Lông,nói nhầm,V,
Lông,lẫn,C,
án Lông,đếm lẫn,V,
Lông,lạc,M,
Lông tàng,lạc đường,V,place
Lông loe,nhầm lẫn,M,
Lồng,xuống,V,
Lồng lính,xuống dốc,V,
Lồng,gieo giống,V,
Lồng chả,gieo mạ,V,
Lồng fe,gieo giống,V,
Lồng,ra,V,
Lồng lèng,ra sức,V,
Lồng mừ,ra tay,M,
Lồng choòng,ngã ngũ,M,
Lồng lền,nẩy đường mực,N,
Lồng luộng,ưng thuận,N,
Lồng mạ,xuống tấn,V,
Lồng mừ,bắt đầu,V,
Lống loáng,lủng lẳng,N,
Lống loáng,lang thang,V,
Lống lống,lông lốc,N,
Lộng,thủng,A,
Lơ,phấn,M,
Lớ,thôi,T,
Hết Lớ,làm thôi,T,
Lớ,lở,V,
Đin Lớ,đất lở,V,
Phja Lớ,núi lở,V,place
Lớ lác,sụt lở,V,
Lờm,phiền,M,
Lớp,lớp,N,
Lu,vẩy đi thôi,V,
Pây Lu,đi đi thôi,T,
Chin Lu,ăn đi thôi,V,
Lù lòa,bừa phứa,N,
Lù loài,lật đật,V,
Lù loài,vội vàng,A,
Lu,lùa,M,
Lủ,cùn,M,
Pjạ Lủ,dao cùn,N,
Lủ,kém,A,
Lủ lút,cùn lì,N,
Lú lí,võ vẽ,V,
Lú lú,lù đù,N,
Lú vè,đi nào,P,
Lụ lọa,quờ quạng,N,
Lụ lọa,sờ soạng,V,
Lụ lọa,vơ quàng,N,
Lụ lọa,vội vàng,A,
Lua,củi tre,N,
Lua,đuốc,M,
Tuẩy Lua,soi đuốc,V,
Lùa,dâu,N,
Lặp Lùa,đón dâu,V,
Hết Lùa,làm dâu,V,
lủa,cái mai,N,
Lụa,lụa,M,
Slửa Lụa,áo lụa,N,
Luây,chảy,V,
Nặm Luây,nước chảy,V,
Luây,trôi,V,
Luây loác,nhễ nhại,M,time
Luầy,nhớt,M,
Luầy lạt,nhớp nhúa,N,
Luầy lụt,nhớp nháp,N,
Luậy,dạo,V,
Luậy,chơi,V,
Lúc loác,cẩu thả,V,
Lục,con,N,
Lục,thai,N,
Pà Lục,mang thai,V,
Thoóc Lục,phá thai,V,
Lục,con,N,
Lục,thằng,P,
Lục,đứa,Nc,
Lục phải,con sợi,N,
Lục đếch,đứa trẻ con,N,
Lục báo,nam thanh niên,N,time
Lục chậu,người phục vụ,V,
Lục đếch,trẻ con,N,
Lục lả,con út,N,
Lục lạc,con cái,N,
Lục lan,con cháu,N,
Lục liệng,con nuôi,V,
Lục nu,hạch,M,
Lục pjạ,con mồ côi,N,
Lục pjạ,cô nhi,M,
Lục pụt,con ngươi,N,
Lục slao,con gái,N,
Lục slao,nữ thanh niên,N,time
Lục xo,con nuôi,V,
Lum,hủm nước,N,place
Lum,sờ,M,
Lum tây,sờ túi,V,
Lum đăm,trong tối,E,place
Lum đăm,bóng tối,N,
Lum lọa,sờ mó,V,
Lum loam,sờ sịt,V,
Lum loem,sờ sẫm,V,
Lum loem,táy máy,V,
Lủm loảm,trệu trạo,N,
lun,lộc,M,
